,words,type,sentiment,lemm,source
223,афигеть как,VG,positive,афигеть как,opinion
224,афтершоковый,Adj,negative,афтершоковый,fact
225,афтершок,Noun,negative,афтершок,fact
226,ахиллесова пята,NG,negative,ахиллесов пята,opinion
227,ахинея,Noun,negative,ахинея,opinion
228,баба,Noun,negative,баба,opinion
229,бабка,Noun,negative,бабка,opinion
230,бабник,Noun,negative,бабник,opinion
231,бабский,Adj,negative,бабский,opinion
232,бабье,Noun,negative,бабье,opinion
233,базарить,Verb,negative,базарить,opinion
234,баиньки,Interjection,positive,баиньки/баинька,opinion
235,байка,Noun,neutral,байка,fact
236,байка,Noun,positive/negative,байка,opinion
237,баклушничать,Verb,negative,баклушничать,opinion
238,балаболка,Noun,negative,балаболка,opinion
239,балабол,Noun,negative,балабол,opinion
240,балбеска,Noun,negative,балбеска,opinion
241,балбес,Noun,negative,балбес,opinion
242,балда,Noun,negative,балда,opinion
243,балдеть,Verb,positive,балдеть/балдей,opinion
244,балласт,Noun,negative,балласт,opinion
245,балласт,Noun,neutral,балласт,fact
246,балласт,Noun,neutral,балласт,fact
247,балованный,Adj,negative,балованный,opinion
248,баловаться,Verb,negative,баловаться,opinion
249,баловать,Verb,negative,баловать,opinion
250,баловство,Noun,negative,баловство,opinion
251,банальность,Noun,negative,банальность,opinion
252,банальный,Adj,negative,банальный,opinion
253,банальщина,Noun,negative,банальщина,opinion
254,банда,Noun,negative,банда,fact
255,бандгруппа,Noun,negative,бандгруппа,fact
256,бандгруппировка,Noun,negative,бандгруппировка,fact
257,бандитизм,Noun,negative,бандитизм,opinion
258,бандитка,Noun,negative,бандитка,opinion
259,бандитский,Adj,negative,бандитский,opinion
260,бандитствовать,Verb,negative,бандитствовать,opinion
261,бандитствующий,Adj,negative,бандитствующий,fact
262,бандит,Noun,negative,бандит,opinion
263,бандподполье,Noun,negative,бандподполье,fact
264,бандформирование,Noun,negative,бандформирование,fact
265,бандюган,Noun,negative,бандюган,opinion
266,бандюга,Noun,negative,бандюга,opinion
267,банить,Verb,negative,банить,fact
268,банкротство,Noun,negative,банкротство,opinion
269,банкрот,Noun,negative,банкрот,opinion
270,бардак,Noun,negative,бардак,opinion
271,бардачный,Adj,negative,бардачный,opinion
272,барсеточник,Noun,negative,барсеточник,fact
273,бархатистость,Noun,positive,бархатистость,feeling
274,бархатистый,Adj,positive,бархатистый,feeling
275,бархатность,Noun,positive,бархатность,feeling
276,бархатный,Adj,neutral,бархатный,fact
277,бархатный,Adj,positive,бархатный,feeling
278,барышнический,Adj,negative,барышнический,opinion
279,барьер,Noun,negative,барьер,fact
280,барьер,Noun,neutral,барьер,fact
281,барьер,Noun,positive/negative,барьер,fact
282,басмаческий,Adj,negative,басмаческий,fact
283,басмачество,Noun,negative,басмачество,fact
284,басмач,Noun,negative,басмач,fact
285,басня,Noun,negative,басня,opinion
286,басня,Noun,neutral,басня,fact
287,бастовать,Verb,negative,бастовать,fact
288,бастующий,Adj,negative,бастующий,fact
289,бахвалка,Noun,negative,бахвалка,opinion
290,бахвальский,Adj,negative,бахвальский,opinion
291,бахвал,Noun,negative,бахвал,opinion
292,бацилловый,Adj,negative,бацилловый,fact
293,башибузук,Noun,negative,башибузук,opinion
294,башковитость,Noun,positive,башковитость,opinion
295,башковитый,Adj,positive,башковитый,opinion
296,бдительность,Noun,positive,бдительность,opinion
297,бдительный,Adj,positive,бдительный,opinion
298,бегство капитала,NG,negative,бегство капитал,fact
299,бегство,Noun,negative,бегство,fact
300,беда,Noun,negative,беда,opinion
301,бедлам,Noun,negative,бедлам,opinion
302,беднейший,Adj,negative,беднейший,opinion
303,бедненький,Adj,positive,бедненький,opinion
304,беднеть,Verb,negative,беднеть,opinion
305,бедность,Noun,negative,бедность,opinion
306,беднота,Noun,negative,беднота,opinion
307,бедный,Adj,negative,бедный,opinion
308,бедняга,Noun,negative,бедняга,opinion
309,бедняжка,Noun,negative,бедняжка,opinion
310,бедняк,Noun,negative,бедняк,opinion
311,бедняцкий,Adj,negative,бедняцкий,opinion
312,бедокурить,Verb,negative,бедокурить,opinion
313,бедолага,Noun,negative,бедолага,opinion
314,бедственность,Noun,negative,бедственность,opinion
315,бедственный,Adj,negative,бедственный,opinion
316,бедствие,Noun,negative,бедствие,opinion
317,бедствовать,Verb,negative,бедствовать,opinion
318,безалаберность,Noun,negative,безалаберность,opinion
319,безалаберный,Adj,negative,безалаберный,opinion
320,безальтернативность,Noun,negative,безальтернативность,opinion
321,безальтернативный,Adj,negative,безальтернативный,opinion
322,безапелляционность,Noun,negative,безапелляционность,opinion
323,безапелляционный,Adj,negative,безапелляционность,opinion
324,безбедность,Noun,positive,безбедность,opinion
325,безбедный,Adj,positive,безбедный,opinion
326,безбилетник,Noun,negative,безбилетник,fact
327,безбилетница,Noun,negative,безбилетница,fact
328,безбилетный проезд,NG,negative,безбилетный проезд,fact
329,безбожный,Adj,negative,безбожный,fact
330,безбожный,Adj,negative,безбожный,opinion
331,безбоязненность,Noun,positive,безбоязненность,opinion
332,безбоязненный,Adj,positive,безбоязненный,opinion
333,безверие,Noun,negative,безверие,feeling
334,безвинность,Noun,positive,безвинность,opinion
335,безвинный,Adj,positive,безвинный,opinion
336,безвкусие,Noun,negative,безвкусие,opinion
337,безвкусица,Noun,negative,безвкусица,opinion
338,безвкусность,Noun,negative,безвкусность,feeling
339,безвкусность,Noun,negative,безвкусность,opinion
340,безвкусный,Adj,negative,безвкусный,feeling
341,безвкусный,Adj,negative,безвкусный,opinion
342,безвластие,Noun,negative,безвластие,fact
343,безвозбранность,Noun,positive,безвозбранность,opinion
344,безвозбранный,Adj,positive,безвозбранный,opinion
345,безволие,Noun,negative,безволие,opinion
346,безвольность,Noun,negative,безвольность,opinion
347,безвольный,Adj,negative,безвольный,opinion
348,безвредность,Noun,positive,безвредность,opinion
349,безвредный,Adj,positive,безвредный,opinion
350,безвременность,Noun,negative,безвременность,opinion
351,безвременный,Adj,negative,безвременный,opinion
352,безвыходность,Noun,negative,безвыходность,opinion
353,безвыходный,Adj,negative,безвыходный,opinion
354,безголовость,Noun,negative,безголовость,opinion
355,безголовый,Adj,negative,безголовый,opinion
356,безграмотность,Noun,negative,безграмотность,opinion
357,безграмотный,Adj,negative,безграмотный,opinion
358,безгреховный,Adj,positive,безгреховный,opinion
359,безгрешность,Noun,positive,безгрешность,opinion
360,безгрешный,Adj,positive,безгрешный,opinion
361,бездарность,Noun,negative,бездарность,opinion
362,бездарный,Adj,negative,бездарный,opinion
363,бездарь,Noun,negative,бездарь,opinion
364,бездействие,Noun,negative,бездействие,fact
365,бездействовать,Verb,negative,бездействовать,fact
366,безделица,Noun,neutral,безделица,opinion
367,безделка,Noun,neutral,безделка,opinion
368,безделье,Noun,negative,безделье,opinion
369,бездельник,Noun,negative,бездельник,opinion
370,бездельница,Noun,negative,бездельница,opinion
371,бездельничать,Verb,negative,бездельничать,opinion
372,безденежный,Adj,negative,безденежный,opinion
373,безденежье,Noun,negative,безденежье,opinion
374,бездеятельность,Noun,negative,бездеятельность,opinion
375,бездеятельный,Adj,negative,бездеятельный,opinion
376,бездождье,Noun,negative,бездождье,fact
377,бездоказательность,Noun,negative,бездоказательность,opinion
378,бездоказательный,Adj,negative,бездоказательный,opinion
379,бездомничать,Verb,negative,бездомничать,fact
380,бездомничество,Noun,negative,бездомничество,fact
381,бездомность,Noun,negative,бездомность,fact
382,бездомный,Adj,negative,бездомный,fact
383,бездорожье,Noun,negative,бездорожье,fact
384,бездумность,Noun,negative,бездумность,opinion
385,бездумный,Adj,negative,бездумный,opinion
386,бездушие,Noun,negative,бездушие,opinion
387,бездушность,Noun,negative,бездушность,opinion
388,бездушный,Adj,negative,бездушный,opinion
389,безжалостность,Noun,negative,безжалостность,opinion
390,безжалостный,Adj,negative,безжалостный,opinion
391,безжизненность,Noun,negative,безжизненность,opinion
392,безжизненный,Adj,negative,безжизненный,opinion
393,беззаботность,Noun,positive,беззаботность,opinion
394,беззаботный,Adj,positive,беззаботный,opinion
395,беззаконие,Noun,negative,беззаконие,opinion
396,беззаконность,Noun,negative,беззаконность,opinion
397,беззаконный,Adj,negative,беззаконный,opinion
398,беззастенчивость,Noun,negative,беззастенчивость,opinion
399,беззастенчивый,Adj,negative,беззастенчивый,opinion
400,беззащитность,Noun,negative,беззащитность,opinion
401,беззащитный,Adj,negative,беззащитный,opinion
402,беззлобность,Noun,positive,беззлобность,opinion
403,беззлобный,Adj,positive,беззлобный,opinion
404,безликая серость,NG,negative,безликий серость,opinion
405,безликий,Adj,negative,безликий,opinion
406,безмозглость,Noun,negative,безмозглость,opinion
407,безмозглый,Adj,negative,безмозглый,opinion
408,безмятежность,Noun,positive,безмятежность,opinion
409,безмятежный,Adj,positive,безмятежный,opinion
410,безнадега,Noun,negative,безнадега,opinion
411,безнадежность,Noun,negative,безнадежность,opinion
412,безнадежный,Adj,negative,безнадежный,opinion
413,безнадзорность,Noun,negative,безнадзорность,fact
414,безнаказанность,Noun,negative,безнаказанность,opinion
415,безнаказанный,Adj,negative,безнаказанный,opinion
416,безнравственность,Noun,negative,безнравственность,opinion
417,безнравственный,Noun,negative,безнравственный,opinion
418,безобидность,Noun,positive,безобидность,opinion
419,безобидный,Adj,positive,безобидный,opinion
420,безоблачность,Noun,positive,безоблачность,opinion
421,безоблачный,Adj,positive,безоблачный,fact
422,безоблачный,Adj,positive,безоблачный,opinion
423,безобразие,Noun,negative,безобразие,opinion
424,безобразить,Verb,negative,безобразить,opinion
425,безобразник,Noun,negative,безобразник,opinion
426,безобразница,Noun,negative,безобразница,opinion
427,безобразничать,Verb,negative,безобразничать,opinion
428,безобразность,Noun,negative,безобразность,opinion
429,безобразный,Adj,negative,безобразный,opinion
430,безопасность,Noun,positive,безопасность,opinion
431,безопасный,Adj,positive,безопасный,opinion
432,безосновательность,Noun,negative,безосновательность,opinion
433,безосновательный,Adj,negative,безосновательный,opinion
434,безответственность,Noun,negative,безответственность,opinion
435,безответственный,Adj,negative,безответственный,opinion
436,безотказность,Noun,positive,безотказность,opinion
437,безотказный,Adj,positive,безотказный,opinion
438,безотрадность,Noun,negative,безотрадность,opinion
439,безотрадный,Adj,negative,безотрадный,opinion
440,безотцовщина,Noun,negative,безотцовщина,opinion
441,безошибочность,Noun,positive,безошибочность,opinion
442,безошибочный,Adj,positive,безошибочный,opinion
443,безплатный,Adj,positive,безплатный/безплатно,fact
444,безработица,Noun,negative,безработица,fact
445,безработный,Noun,negative,безработный,fact
446,безрадостность,Noun,negative,безрадостность,opinion
447,безрадостный,Adj,negative,безрадостный,opinion
448,безразличие,Noun,negative,безразличие,opinion
449,безразличность,Noun,negative,безразличность,opinion
450,безразличный,Adj,negative,безразличный,opinion
451,безрезультативный,Adj,negative,безрезультативный,opinion
452,безрезультатность,Noun,negative,безрезультатность,opinion
453,безрезультатный,Adj,negative,безрезультатный,opinion
454,безрукий,Adj,negative,безрукий,opinion
455,безрукость,Noun,negative,безрукость,opinion
456,безукоризненность,Noun,positive,безукоризненность,opinion
457,безукоризненный,Adj,positive,безукоризненный,opinion
458,безумец,Noun,negative,безумец,opinion
459,безумие,Noun,negative,безумие,opinion
460,безумность,Noun,negative,безумность,opinion
461,безумный,Adj,negative,безумный,opinion
462,безумствовать,Verb,negative,безумствовать,opinion
463,безумство,Noun,negative,безумство,opinion
464,безумье,Noun,negative,безумье,opinion
465,безупречность,Noun,positive,безупречность,opinion
466,безупречный,Adj,positive,безупречный,opinion
467,безуспешность,Noun,negative,безуспешность,opinion
468,безуспешный,Adj,negative,безуспешный,opinion
469,безустанность,Noun,positive,безустанность,opinion
470,безустанный,Adj,positive,безустанный,opinion
471,безутешность,Noun,negative,безутешность,opinion
472,безутешный,Adj,negative,безутешный,opinion
473,безучастие,Noun,negative,безучастие,opinion
474,безучастность,Noun,negative,безучастность,opinion
475,безучастный,Adj,negative,безучастный,opinion
476,безыскусность,Noun,positive,безыскусность,opinion
477,безыскусный,Adj,positive,безыскусный,opinion
478,безыскусственность,Noun,positive,безыскусственность,opinion
479,безыскусственный,Adj,positive,безыскусственный,opinion
480,безысходность,Noun,negative,безысходность,opinion
481,безысходный,Adj,negative,безысходный,opinion
482,без зазрения совести,NG,negative,без зазрение совесть,opinion
483,без колебаний,NG,positive,без колебание,opinion
484,без оглядки,NG,positive,без оглядка,opinion
485,без тени сомнения,NG,positive,без тень сомнение,opinion
486,без утайки,NG,positive,без утайка,opinion
487,белесость,Noun,negative,белесость,opinion
488,белесый,Adj,negative,белесый,opinion
489,белиберда,Noun,negative,белиберда,opinion
490,белокровие,Noun,negative,белокровие,fact
491,белокровный,Adj,negative,белокровный,fact
492,белоручка,Noun,negative,белоручка,opinion
493,белоснежность,Noun,positive,белоснежность,feeling
494,белоснежный,Adj,positive,белоснежный,feeling
495,бережливость,Noun,positive,бережливость,opinion
496,бережливый,Adj,positive,бережливый,opinion
497,бережность,Noun,positive,бережность,opinion
498,бережный,Adj,positive,бережный,opinion
499,бесенок,Noun,positive,бесенок,opinion
500,беситься,Verb,negative,беситься,opinion
501,бескомпромиссность,Noun,positive,бескомпромиссность,opinion
502,бескомпромиссный,Adj,positive,бескомпромиссный,opinion
503,бесконтрольность,Noun,negative,бесконтрольность,opinion
504,бесконтрольный,Adj,negative,бесконтрольный,opinion
505,бесконфликтность,Noun,positive,бесконфликтность,fact
506,бесконфликтность,Noun,positive,бесконфликтность,opinion
507,бескорыстие,Noun,positive,бескорыстие,opinion
508,бескорыстность,Noun,positive,бескорыстность,opinion
509,бескорыстный,Adj,positive,бескорыстный,opinion
510,бескультурие,Noun,negative,бескультурие,opinion
511,бескультурный,Adj,negative,бескультурный,opinion
512,бескультурье,Noun,negative,бескультурье,opinion
513,бесноваться,Verb,negative,бесноваться,opinion
514,беспалевно,Adv,positive,беспалевно,opinion
515,беспалевный,Adj,positive,беспалевный,opinion
516,беспамятность,Noun,negative,беспамятность,opinion
517,беспамятный,Adj,negative,беспамятный,fact
518,беспамятный,Adj,negative,беспамятный,opinion
519,беспамятство,Noun,negative,беспамятство,fact
520,беспардонность,Noun,negative,беспардонность,opinion
521,беспардонный,Adj,negative,беспардонный,opinion
522,бесперспективность,Noun,negative,бесперспективность,opinion
523,бесперспективный,Adj,negative,бесперспективный,opinion
524,беспечность,Noun,negative,беспечность,opinion
525,беспечный,Adj,negative,беспечный,opinion
526,бесплодие,Noun,negative,бесплодие,fact
527,бесплодность,Noun,negative,бесплодность,opinion
528,бесплодный,Adj,negative,бесплодный,opinion
529,бесподобность,Noun,positive,бесподобность,opinion
530,бесподобный,Adj,positive,бесподобный,opinion
531,беспокоиться,Verb,negative,беспокиться,feeling
532,беспокоить,Verb,negative,беспокоить,feeling
533,беспокойность,Noun,negative,беспокойность,feeling
534,беспокойный,Adj,negative,беспокойный,feeling
535,беспокойство,Noun,negative,беспокойство,feeling
536,бесполезность,Noun,negative,бесполезность,opinion
537,бесполезный,Adj,negative,бесполезный,opinion
538,беспомощность,Noun,negative,беспомощность,opinion
539,беспомощный,Adj,negative,беспомощный,opinion
540,беспорочность,Noun,positive,беспорочность,opinion
541,беспорочный,Adj,positive,беспорочный,opinion
542,беспорядок,Noun,negative,беспорядок,opinion
543,беспорядочность,Noun,negative,беспорядочность,opinion
544,беспорядочный,Adj,negative,беспорядочный,opinion
545,беспочвенность,Noun,negative,беспочвенность,opinion
546,беспочвенный,Adj,negative,беспочвенный,opinion
547,беспощадность,Noun,negative,беспощадность,opinion
548,беспощадный,Adj,negative,беспощадный,opinion
549,беспредел,Noun,negative,беспредел,opinion
550,беспрепятственность,Noun,positive,беспрепятственность,opinion
551,беспрепятственный,Adj,positive,беспрепятственный,opinion
552,беспризорник,Noun,negative,беспризорник,opinion
553,беспризорница,Noun,negative,беспризорница,opinion
554,беспризорнический,Adj,negative,беспризорнический,opinion
555,беспризорность,Noun,negative,беспризорность,fact
556,беспризорный,Adj,negative,беспризорный,opinion
557,беспризорщина,Noun,negative,беспризорщина,opinion
558,беспринципность,Noun,negative,беспринципность,opinion
559,беспринципный,Adj,negative,беспринципный,opinion
560,беспристрастие,Noun,positive,беспристрастие,opinion
561,беспристрастность,Noun,positive,беспристрастность,opinion
562,беспристрастный,Adj,positive,беспристрастный,opinion
563,беспроигрышность,Noun,positive,беспроигрышность,opinion
564,беспроигрышный,Adj,positive,беспроигрышный,opinion
565,беспросветность,Noun,negative,беспросветность,opinion
566,беспросветный,Adj,negative,беспросветный,opinion
567,беспутник,Noun,negative,беспутник,opinion
568,беспутница,Noun,negative,беспутница,opinion
569,беспутничать,Verb,negative,беспутничать,opinion
570,беспутнический,Adj,negative,беспутнический,opinion
571,беспутность,Noun,negative,беспутность,opinion
572,беспутный,Adj,negative,беспутный,opinion
573,беспутство,Noun,negative,беспутство,opinion
574,бессвязность,Noun,negative,бессвязность,opinion
575,бессвязный,Adj,negative,бессвязный,opinion
576,бессердечие,Noun,negative,бессердечие,opinion
577,бессердечность,Noun,negative,бессердечность,opinion
578,бессердечный,Adj,negative,бессердечный,opinion
579,бессилие,Noun,negative,бессилие,feeling
580,бессилие,Noun,negative,бессилие,opinion
581,бессильный,Adj,negative,бессильный,feeling
582,бессильный,Adj,negative,бессильный,opinion
